,rank,finalWorth,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,gender,birthDate
2190,2133,1300000000,Gary Lauder,60.0,United States,Atherton,Estée Lauder,Fashion & Retail,United States,False,M,1962-05-05 00:00:00
2191,2133,1300000000,Lee Hae-jin,55.0,South Korea,Seoul,Internet,Technology,South Korea,True,M,1967-06-22 00:00:00
2192,2133,1300000000,Art Levinson,73.0,United States,Hillsborough,"Genentech, Apple",Diversified,United States,True,M,1950-03-31 00:00:00
2193,2133,1300000000,Li Denghai,73.0,China,Laizhou,Seed production,Food & Beverage,China,True,M,1949-09-01 00:00:00
2194,2133,1300000000,Fengluan Li,61.0,China,Ruzhou,"Steel, diversified",Diversified,China,True,F,1962-01-01 00:00:00
2195,2133,1300000000,Li Yongqing,58.0,China,Hangzhou,Petro Firbe,Manufacturing,China,True,M,1964-06-30 00:00:00
2196,2133,1300000000,Li Zhigang,46.0,China,Wuhan,Machinery,Manufacturing,China,True,M,1976-06-01 00:00:00
2197,2133,1300000000,Liu Gexin & family,71.0,China,Chengdu,Pharmaceuticals,Healthcare,China,True,M,1951-05-12 00:00:00
2198,2133,1300000000,Itamar Locks & family,68.0,Brazil,Rondonopolis,Agribusiness,Food & Beverage,Brazil,False,M,1955-01-01 00:00:00
2199,2133,1300000000,Lu Hongyan,45.0,China,Xiamen,Online games,Media & Entertainment,China,True,M,1977-05-31 00:00:00
2200,2133,1300000000,Lv Jianming,58.0,China,Hangzhou,Medical equipment,Healthcare,Hong Kong,True,M,1965-01-01 00:00:00
2201,2133,1300000000,Blairo Maggi,66.0,Brazil,Cuiaba,Agribusiness,Food & Beverage,Brazil,False,M,1956-05-29 00:00:00
2202,2133,1300000000,Yasseen Mansour,61.0,Egypt,Cairo,Diversified,Diversified,Egypt,True,M,1961-08-08 00:00:00
2203,2133,1300000000,Charlwin Mao,,China,Shanghai,E-commerce,Fashion & Retail,China,True,M,
2204,2133,1300000000,George Marcus,81.0,United States,Los Altos Hills,Real estate,Real Estate,United States,True,M,1941-08-15 00:00:00
2205,2133,1300000000,Yves-Loic Martin,57.0,France,Nantes,Laboratory services,Healthcare,France,True,M,1966-01-01 00:00:00
2206,2133,1300000000,Carsten Maschmeyer,63.0,Germany,Munich,Finance services,Finance & Investments,Germany,True,M,1959-05-08 00:00:00
2207,2133,1300000000,Lillian Teh Li Ming,,,,Banking,Finance & Investments,Malaysia,False,F,
2208,2133,1300000000,Martin Moller Nielsen,58.0,Switzerland,Lugano,Aircraft leasing,Logistics,Denmark,True,M,1964-08-01 00:00:00
2209,2133,1300000000,Jahm Najafi,60.0,United States,Paradise Valley,Investments,Finance & Investments,United States,True,M,1963-03-19 00:00:00
2210,2133,1300000000,Randal Nardone,67.0,United States,New York,"Investments, energy",Finance & Investments,United States,True,M,1955-06-22 00:00:00
2211,2133,1300000000,Nguyen Dang Quang,59.0,Vietnam,Ho Chi Minh City,"Consumer products, banking",Food & Beverage,Vietnam,True,M,1963-08-23 00:00:00
2212,2133,1300000000,Kazuo Okada,80.0,Japan,Tokyo,Casinos,Gambling & Casinos,Japan,True,M,1942-10-03 00:00:00
2213,2133,1300000000,John Oyler,55.0,United States,,Biotech,Healthcare,United States,True,M,1968-04-03 00:00:00
2214,2133,1300000000,William Teh Lee Pang,,,,Banking,Finance & Investments,Malaysia,False,M,
2215,2133,1300000000,George Pedersen & family,87.0,United States,McLean,Defense contractor,Manufacturing,United States,True,M,1935-08-18 00:00:00
2216,2133,1300000000,Qu Miranda,38.0,China,Shanghai,E-commerce,Fashion & Retail,China,True,F,1985-01-01 00:00:00
2217,2133,1300000000,Jupally Rameshwar Rao,67.0,India,Hyderabad,Real estate,Real Estate,India,True,M,1955-09-16 00:00:00
2218,2133,1300000000,G. M. Rao,72.0,India,Bangalore,Infrastructure,Logistics,India,True,M,1950-07-01 00:00:00
2219,2133,1300000000,P.V. Ramprasad Reddy,65.0,India,Hyderabad,Pharmaceuticals,Healthcare,India,True,M,1958-03-30 00:00:00
2220,2133,1300000000,Satish Reddy,55.0,India,Hyderabad,Pharmaceuticals,Healthcare,India,False,M,1967-06-09 00:00:00
2221,2133,1300000000,Fernando Roig,75.0,Spain,Valencia,Supermarkets,Fashion & Retail,Spain,False,M,1947-06-25 00:00:00
2222,2133,1300000000,Igor Rotenberg,49.0,Russia,Moscow,"Investments, real estate",Diversified,Russia,True,M,1973-05-09 00:00:00
2223,2133,1300000000,Seifeddin Rustamov,60.0,United States,,Chemicals,Manufacturing,Russia,True,M,1962-06-17 00:00:00
2224,2133,1300000000,Deniz Sahenk,77.0,Turkey,Istanbul,Diversified,Diversified,Turkey,False,F,1945-08-06 00:00:00
2225,2133,1300000000,Nobutada Saji,77.0,Japan,Tokyo,Beverages,Food & Beverage,Japan,False,M,1945-11-25 00:00:00
2226,2133,1300000000,Hajime Satomi,81.0,Japan,Tokyo,"Video games, pachinko",Gambling & Casinos,Japan,True,M,1942-01-16 00:00:00
2227,2133,1300000000,James Scapa,66.0,United States,Atherton,Software,Technology,United States,True,M,1957-01-23 00:00:00
2228,2133,1300000000,Stephan Schnabel,48.0,,,Chemicals,Manufacturing,Germany,False,M,1975-01-18 00:00:00
2229,2133,1300000000,Devi Shetty,70.0,India,Bangalore,Healthcare,Healthcare,India,True,M,1953-01-01 00:00:00
2230,2133,1300000000,Albert Shigaboutdinov,70.0,Russia,Kazan,"Refinery, chemicals",Diversified,Russia,True,M,1952-11-12 00:00:00
2231,2133,1300000000,Diana Teh Li Shing,,,,Banking,Finance & Investments,Malaysia,False,F,
2232,2133,1300000000,Denis Shtengelov,50.0,Australia,Gold Coast,"Food, retail",Food & Beverage,Russia,True,M,1972-05-14 00:00:00
2233,2133,1300000000,Fei Song,56.0,China,Yantai,Machinery,Manufacturing,China,True,M,1966-09-12 00:00:00
2234,2133,1300000000,Hal Steinbrenner,54.0,United States,Tampa,Sports,Sports,United States,False,M,1968-12-03 00:00:00
2235,2133,1300000000,Jessica Steinbrenner,59.0,United States,Tampa,Sports,Sports,United States,False,F,1964-03-26 00:00:00
2236,2133,1300000000,Jennifer Steinbrenner Swindal,63.0,United States,Tampa,Sports,Sports,United States,False,F,1959-07-28 00:00:00
2237,2133,1300000000,Konstantin Strukov & family,64.0,Russia,Chelyabinsk,"Gold, coal mining",Metals & Mining,Russia,True,M,1958-09-10 00:00:00
2238,2133,1300000000,Rustem Sulteev,69.0,Russia,Kazan,"Refinery, chemicals",Energy,Russia,True,M,1954-01-04 00:00:00
2239,2133,1300000000,Clemens Toennies,66.0,Germany,Rheda-Wiedenbrück,Meat processing,Food & Beverage,Germany,True,M,1956-05-27 00:00:00
2240,2133,1300000000,Robert Toennies,44.0,Germany,Rheda-Wiedenbrück,Meat processing,Food & Beverage,Germany,False,M,1978-05-29 00:00:00
2241,2133,1300000000,John Van Lieshout,77.0,Australia,Brisbane,Real estate,Real Estate,Australia,True,M,1946-01-12 00:00:00
2242,2133,1300000000,Pongsak Viddayakorn,89.0,Thailand,Bangkok,Hospitals,Healthcare,Thailand,True,M,1934-03-23 00:00:00
2243,2133,1300000000,Wang Jianguo,63.0,China,Nanjing,Retail,Fashion & Retail,China,True,M,1960-01-01 00:00:00
2244,2133,1300000000,Junjin Wang,54.0,China,Shanghai,Airline,Service,China,True,M,1968-12-01 00:00:00
2245,2133,1300000000,Wang Mingwang,55.0,China,Shenzhen,Electronics components,Manufacturing,China,True,M,1967-05-02 00:00:00
2246,2133,1300000000,Wei Lidong & family,47.0,China,Shanghai,Software,Technology,China,True,M,1976-01-01 00:00:00
2247,2133,1300000000,Myron Wentz,83.0,Cayman Islands,Grand Cayman,Health products,Fashion & Retail,St. Kitts and Nevis,True,M,1940-01-01 00:00:00
2248,2133,1300000000,Wu Xiaoge,50.0,China,Chengdu,Battery components,Manufacturing,China,True,F,1972-11-01 00:00:00
2249,2133,1300000000,Wu Xushun & family,74.0,China,Wuhu,Internet,Diversified,China,True,M,1948-04-28 00:00:00
2250,2133,1300000000,Xiong Xiaochuan,57.0,China,Shenzhen,Medical devices,Healthcare,China,True,M,1966-01-01 00:00:00
2251,2133,1300000000,Xu Shaochun,60.0,China,Shenzhen,Software,Technology,China,True,M,1963-01-01 00:00:00
2252,2133,1300000000,Yan Jane & family,53.0,China,Beijing,Software,Technology,China,True,F,1969-07-19 00:00:00
2253,2133,1300000000,Zeng Chaoyi,54.0,China,Changsha,Aluminum products,Manufacturing,China,True,M,1969-04-01 00:00:00
2254,2133,1300000000,Peng Zhao,52.0,China,Beijing,Online recruitment,Service,China,True,M,1971-01-01 00:00:00
2255,2133,1300000000,Zhao Tongtong,56.0,Hong Kong,Hong Kong,Hotels,Service,Canada,True,F,1967-01-01 00:00:00
2256,2133,1300000000,Kostyantin Zhevago,49.0,Ukraine,Kiev,Mining,Metals & Mining,Ukraine,True,M,1974-01-07 00:00:00
2257,2133,1300000000,Zong Yanmin,,China,Jinan,Semiconductor materials,Manufacturing,China,True,M,
2258,2259,1200000000,Sanjay Agarwal,52.0,India,Jaipur,Banking,Finance & Investments,India,True,M,1970-09-08 00:00:00
2259,2259,1200000000,Hamad bin Jassim bin Jaber Al Thani,63.0,Qatar,Doha,Investments,Finance & Investments,Qatar,False,M,1959-10-01 00:00:00
2260,2259,1200000000,Joao Alves de Queiroz Filho,70.0,Brazil,São Paulo,Pharmaceuticals,Diversified,Brazil,True,M,1953-01-01 00:00:00
2261,2259,1200000000,Jose Maria Aristrain,60.0,Switzerland,Gstaad,Steel,Metals & Mining,Spain,False,M,1962-11-02 00:00:00
2262,2259,1200000000,Michael Arougheti,50.0,United States,Nyack,Finance,Finance & Investments,United States,True,M,1972-10-10 00:00:00
2263,2259,1200000000,Tope Awotona,41.0,United States,Atlanta,Software,Technology,United States,True,M,1981-04-22 00:00:00
2264,2259,1200000000,Mehmet Aydinlar,66.0,Turkey,Istanbul,Hospitals,Healthcare,Turkey,True,M,1956-07-27 00:00:00
2265,2259,1200000000,Danna Azrieli,55.0,Israel,Herzliya,Real estate,Real Estate,Israel,False,F,1967-06-03 00:00:00
2266,2259,1200000000,Naomi Azrieli,57.0,Canada,Toronto,Real estate,Real Estate,Canada,False,F,1965-09-26 00:00:00
2267,2259,1200000000,Sharon Azrieli,62.0,Canada,Montreal,Real estate,Real Estate,Canada,False,F,1960-08-04 00:00:00
2268,2259,1200000000,Bai Houshan,59.0,China,Ningbo,Lithium battery,Energy,China,True,M,1964-01-01 00:00:00
2269,2259,1200000000,Thomas Bailey,86.0,United States,Aspen,Money management,Finance & Investments,United States,True,M,1937-01-01 00:00:00
2270,2259,1200000000,Bernhard Braun-Luedicke,46.0,Germany,Melsungen,Medical technology,Healthcare,Germany,False,M,1977-01-01 00:00:00
2271,2259,1200000000,Eva Maria Braun-Luedicke,36.0,Germany,Melsungen,Medical technology,Healthcare,Germany,False,F,1987-01-01 00:00:00
2272,2259,1200000000,Friederike Braun-Luedicke,39.0,Germany,Melsungen,Medical technology,Healthcare,Germany,False,F,1984-01-01 00:00:00
2273,2259,1200000000,Jeffrey Cheah,78.0,Malaysia,Kuala Lumpur,"Property, healthcare",Real Estate,Malaysia,True,M,1945-03-30 00:00:00
2274,2259,1200000000,Chen Xianbao & family,63.0,China,Hefei,Food,Food & Beverage,China,True,M,1959-05-19 00:00:00
2275,2259,1200000000,Cheng Xianfeng,54.0,China,Hefei,Pharmaceuticals,Healthcare,China,True,M,1968-12-01 00:00:00
2276,2259,1200000000,Chung Yong-jin,54.0,South Korea,Seoul,Retail,Fashion & Retail,South Korea,False,M,1968-09-19 00:00:00
2277,2259,1200000000,Darwin Deason,82.0,United States,Dallas,Software,Service,United States,True,M,1940-05-14 00:00:00
2278,2259,1200000000,Diego Della Valle,69.0,Italy,Sant'' Elpidio A Mare,Shoes,Fashion & Retail,Italy,False,M,1953-12-30 00:00:00
2279,2259,1200000000,Ashwin Desai,71.0,India,Surat,Specialty chemicals,Manufacturing,India,True,M,1951-09-18 00:00:00
2280,2259,1200000000,Richard Desmond,71.0,United Kingdom,London,Publishing,Media & Entertainment,United Kingdom,True,M,1951-12-08 00:00:00
2281,2259,1200000000,Ding Shui Po,52.0,China,Quanzhou,"Sneakers, sportswear",Fashion & Retail,China,False,M,1970-11-01 00:00:00
2282,2259,1200000000,Sefik Yilmaz Dizdar,85.0,Turkey,Istanbul,Fashion retail,Fashion & Retail,Turkey,True,M,1938-03-16 00:00:00
2283,2259,1200000000,Mathias Doepfner,60.0,Germany,Potsdam,Media,Media & Entertainment,Germany,False,M,1963-01-15 00:00:00
2284,2259,1200000000,Farhad Ebrahimi,84.0,United States,Denver,Solar panels,Manufacturing,United States,True,M,1939-01-01 00:00:00
2285,2259,1200000000,Jose Roberto Ermirio de Moraes,65.0,Brazil,Sao Paulo,Diversified,Diversified,Brazil,False,M,1957-11-30 00:00:00
2286,2259,1200000000,Jose Ermirio de Moraes Neto,70.0,Brazil,Sao Paulo,Diversified,Diversified,Brazil,False,M,1952-06-17 00:00:00
2287,2259,1200000000,Fang Hongbo,56.0,China,Shunde,Home appliances,Manufacturing,China,True,M,1967-01-01 00:00:00
2288,2259,1200000000,David Feffer,66.0,Brazil,São Paulo,Pulp and paper,Manufacturing,Brazil,False,M,1956-11-13 00:00:00
2289,2259,1200000000,Zsolt Felcsuti,51.0,Hungary,,Manufacturing,Manufacturing,Hungary,True,M,1971-05-26 00:00:00
2290,2259,1200000000,Ben Francis,30.0,United Kingdom,Birmingham,Fitness clothing,Fashion & Retail,United Kingdom,True,M,1992-06-04 00:00:00
2291,2259,1200000000,Gary Friedman,65.0,United States,Belvedere,Furniture retail,Fashion & Retail,United States,True,M,1957-08-06 00:00:00
2292,2259,1200000000,Dan Gertler,49.0,Israel,Bnei Brak,Mining,Metals & Mining,Israel,False,M,1973-12-23 00:00:00
2293,2259,1200000000,Balkrishan Goenka,56.0,India,Mumbai,Textiles,Manufacturing,India,True,M,1966-08-15 00:00:00
2294,2259,1200000000,Lawrence Golub,63.0,United States,New York,Private equity,Finance & Investments,United States,True,M,1959-10-03 00:00:00
2295,2259,1200000000,Saroj Rani Gupta,72.0,India,Delhi,Steel tubes,Manufacturing,India,True,F,1950-07-05 00:00:00
2296,2259,1200000000,Anthony Hall,67.0,Australia,Melbourne,Technology,Technology,Australia,True,M,1955-06-27 00:00:00
2297,2259,1200000000,Fahed Hariri,42.0,United Kingdom,London,"Construction, investments",Construction & Engineering,Lebanon,False,M,1980-12-29 00:00:00
2298,2259,1200000000,Richard Hayne,75.0,United States,Philadelphia,Urban Outfitters,Fashion & Retail,United States,True,M,1947-09-01 00:00:00
2299,2259,1200000000,Michael Heine,73.0,Australia,Melbourne,Financial services,Finance & Investments,Australia,True,M,1949-11-01 00:00:00
2300,2259,1200000000,Orion Hindawi,43.0,United States,Seattle,Software,Technology,United States,True,M,1980-01-10 00:00:00
2301,2259,1200000000,Lawrence Ho,46.0,Hong Kong,Hong Kong,Casinos,Gambling & Casinos,Hong Kong,False,M,1977-01-16 00:00:00
2302,2259,1200000000,Huang Guanlin,58.0,China,Ningbo,"Textiles, apparel",Fashion & Retail,China,True,M,1965-01-01 00:00:00
2303,2259,1200000000,Sam Hupert,68.0,Australia,Melbourne,Technology,Technology,Australia,True,M,1954-12-25 00:00:00
2304,2259,1200000000,Mohammed Ibrahim,76.0,United Kingdom,London,Communications,Telecom,United Kingdom,True,M,1946-05-03 00:00:00
2305,2259,1200000000,Shirley Kao,66.0,Taiwan,Tainan,Food & beverage retailing,Food & Beverage,Taiwan,False,F,1956-09-02 00:00:00
2306,2259,1200000000,David Kaplan,55.0,United States,Los Angeles,Finance,Finance & Investments,United States,True,M,1967-08-29 00:00:00
2307,2259,1200000000,Kim Kardashian,42.0,United States,Hidden Hills,"Shapewear, cosmetics, reality TV",Fashion & Retail,United States,True,F,1980-10-21 00:00:00
2308,2259,1200000000,Ke Guihua,57.0,China,Shanghai,Auto parts,Manufacturing,China,True,M,1965-10-13 00:00:00
2309,2259,1200000000,Ke Yunfeng & family,56.0,China,Guangzhou,Retailing,Healthcare,China,True,M,1967-01-01 00:00:00
2310,2259,1200000000,Alexander Klyachin,55.0,Russia,Moscow,Real estate,Real Estate,Russia,True,M,1967-05-18 00:00:00
2311,2259,1200000000,Christine Knauf,,Germany,Berlin,Building materials,Manufacturing,Germany,False,F,
2312,2259,1200000000,Karl Knauf,,Germany,Iphofen,Building materials,Manufacturing,Germany,False,M,
2313,2259,1200000000,Suresh Krishna,86.0,India,Chennai,Auto parts,Automotive,India,False,M,1936-12-24 00:00:00
2314,2259,1200000000,Guy Laliberté,63.0,Canada,Montreal,Cirque du Soleil,Media & Entertainment,Canada,True,M,1960-01-01 00:00:00
2315,2259,1200000000,Lee Su-jin,45.0,South Korea,,Hospitality,Technology,South Korea,True,M,1978-02-01 00:00:00
2316,2259,1200000000,Li Guoqing,53.0,China,Hangzhou,Petro Fibre,Manufacturing,China,True,M,1970-02-22 00:00:00
2317,2259,1200000000,Li Li,59.0,China,Shenzhen,Pharmaceuticals,Healthcare,China,True,M,1964-02-09 00:00:00
2318,2259,1200000000,Li Ruiqiang,43.0,China,Beijing,Medical services,Healthcare,China,True,M,1979-11-01 00:00:00
2319,2259,1200000000,Zhen Li & family,59.0,China,Hefei,Lithium batteries,Manufacturing,China,True,M,1964-01-23 00:00:00
2320,2259,1200000000,Guangwei Liang,59.0,China,Shenzhen,Conglomerate,Manufacturing,China,True,M,1963-09-01 00:00:00
2321,2259,1200000000,Liu Ming Hui,60.0,Hong Kong,Hong Kong,Natural gas distribution,Energy,China,True,M,1963-01-01 00:00:00
2322,2259,1200000000,Frederic Luddy,68.0,United States,San Diego,Software,Technology,United States,True,M,1954-11-24 00:00:00
2323,2259,1200000000,"Cargill MacMillan, III.",63.0,United States,Boulder,Cargill,Food & Beverage,United States,False,M,1959-12-21 00:00:00
2324,2259,1200000000,John MacMillan,73.0,United States,Plymouth,Cargill,Food & Beverage,United States,False,M,1949-09-20 00:00:00
2325,2259,1200000000,Martha MacMillan,71.0,United States,Orono,Cargill,Food & Beverage,United States,False,F,1951-10-01 00:00:00
2326,2259,1200000000,William MacMillan,68.0,United States,Englewood,Cargill,Food & Beverage,United States,False,M,1954-05-25 00:00:00
2327,2259,1200000000,Keshub Mahindra,99.0,India,Mumbai,Diversified,Diversified,India,False,M,1923-10-09 00:00:00
2328,2259,1200000000,Mao Zhongwu,60.0,China,Changsha,Manufacturing,Manufacturing,China,True,M,1962-08-13 00:00:00
2329,2259,1200000000,Jorge Mas,60.0,United States,Miami,Construction,Construction & Engineering,United States,False,M,1963-02-28 00:00:00
2330,2259,1200000000,Lorinc Meszaros,57.0,Hungary,Felcsút,Diversified,Diversified,Hungary,True,M,1966-02-25 00:00:00
2331,2259,1200000000,Jeffrey Michael & family,66.0,United States,Minnetonka,Data management,Technology,United States,True,M,1956-07-18 00:00:00
2332,2259,1200000000,Alan Miller & family,85.0,United States,Lower Merion,Healthcare services,Healthcare,United States,True,M,1937-08-17 00:00:00
2333,2259,1200000000,Ulrich Mommert & family,82.0,,,Lighting,Automotive,Austria,True,M,1941-01-11 00:00:00
2334,2259,1200000000,Neide Helena de Moraes,68.0,Brazil,Sao Paulo,Diversified,Diversified,Brazil,False,F,1955-02-15 00:00:00
2335,2259,1200000000,Scott Nuttall,50.0,United States,New York,Private equity,Finance & Investments,United States,True,M,1972-11-25 00:00:00
2336,2259,1200000000,Kailashchandra Nuwal,65.0,,,Industrial explosives,Manufacturing,India,False,M,1957-07-06 00:00:00
2337,2259,1200000000,Axel Oberwelland & family,56.0,Germany,Berlin,Candy,Food & Beverage,Germany,False,M,1967-01-01 00:00:00
2338,2259,1200000000,Jonathan Oringer,48.0,United States,Miami Beach,Stock photos,Technology,United States,True,M,1974-05-02 00:00:00
2339,2259,1200000000,Vitaly Orlov,58.0,Russia,Murmansk,Fisheries,Food & Beverage,Russia,True,M,1965-01-01 00:00:00
2340,2259,1200000000,Jose Isaac Peres & family,82.0,Brazil,Rio de Janeiro,Shopping malls,Real Estate,Brazil,True,M,1940-07-18 00:00:00
2341,2259,1200000000,Markus Persson,43.0,Sweden,Stockholm,Computer games,Media & Entertainment,Sweden,True,M,1979-06-01 00:00:00
2342,2259,1200000000,Mark Pincus,57.0,United States,San Francisco,Online games,Technology,United States,True,M,1966-02-13 00:00:00
2343,2259,1200000000,Murdaya Poo,82.0,Indonesia,Jakarta,Diversified,Diversified,Indonesia,False,M,1941-01-12 00:00:00
2344,2259,1200000000,Forrest Preston,90.0,United States,Cleveland,Health care,Healthcare,United States,True,M,1933-03-22 00:00:00
2345,2259,1200000000,Qian Ying,57.0,China,Nanyang,Pig breeding,Food & Beverage,China,True,F,1966-01-01 00:00:00
2346,2259,1200000000,Jimmy Rane,76.0,United States,Abbeville,Lumber,Manufacturing,United States,True,M,1946-09-15 00:00:00
2347,2259,1200000000,Andrei Rappoport,59.0,Switzerland,Lugano,Investments,Finance & Investments,Russia,True,M,1963-06-22 00:00:00
2348,2259,1200000000,Hugo Ribeiro & family,,Brazil,Rondonopolis,Agribusiness,Food & Beverage,Brazil,False,M,
2349,2259,1200000000,Bennett Rosenthal,59.0,United States,Los Angeles,Finance,Finance & Investments,United States,True,M,1963-09-24 00:00:00
2350,2259,1200000000,Atul Ruia,52.0,India,Mumbai,Real estate,Real Estate,India,False,M,1971-02-26 00:00:00
2351,2259,1200000000,Thomas Sandell,62.0,United Kingdom,London,Hedge funds,Finance & Investments,Sweden,True,M,1961-02-01 00:00:00
2352,2259,1200000000,Francesco Saputo,,Canada,Montreal,Cheese,Food & Beverage,Canada,False,M,
2353,2259,1200000000,Dhruv Sawhney,78.0,United Arab Emirates,Dubai,"Engineering, sugar",Construction & Engineering,India,False,M,1944-06-26 00:00:00
2354,2259,1200000000,Gerald Schwartz,81.0,Canada,Toronto,Finance,Finance & Investments,Canada,True,M,1941-11-24 00:00:00
2355,2259,1200000000,Antonio Luiz Seabra,80.0,United Kingdom,London,Cosmetics,Fashion & Retail,Brazil,True,M,1943-01-01 00:00:00
2356,2259,1200000000,Eric Ya Shen,52.0,China,Guangzhou,Online apparel retail,Technology,China,True,M,1971-01-01 00:00:00
2357,2259,1200000000,Sytse 'Sid' Sijbrandij,43.0,United States,San Francisco,Software,Technology,Netherlands,True,M,1979-08-01 00:00:00
2358,2259,1200000000,Alexander Sixt,43.0,Germany,Munich,Car rentals,Automotive,Germany,False,M,1979-10-24 00:00:00
2359,2259,1200000000,Konstantin Sixt,40.0,Germany,Munich,Car rentals,Automotive,Germany,False,M,1982-12-02 00:00:00
2360,2259,1200000000,Edwin Soeryadjaya,73.0,Indonesia,Jakarta,"Coal, investments",Energy,Indonesia,False,M,1949-07-17 00:00:00
2361,2259,1200000000,Abhay Soi,49.0,India,Mumbai,Healthcare,Healthcare,India,True,M,1973-08-19 00:00:00
2362,2259,1200000000,Mike Speiser,52.0,United Kingdom,London,Software,Technology,United States,True,M,1971-01-25 00:00:00
2363,2259,1200000000,Marco Squinzi,51.0,Italy,Milan,Chemical products,Construction & Engineering,Italy,False,M,1971-09-23 00:00:00
2364,2259,1200000000,Veronica Squinzi,51.0,Italy,Milan,Chemical products,Construction & Engineering,Italy,False,F,1972-01-01 00:00:00
2365,2259,1200000000,Michael Steinhardt,82.0,United States,Mount Kisco,Hedge funds,Finance & Investments,United States,True,M,1940-12-07 00:00:00
2366,2259,1200000000,Ion Stoica,58.0,United States,Berkeley,Data analytics,Technology,Romania,True,M,1965-02-12 00:00:00
2367,2259,1200000000,Eddy Sugianto,77.0,Indonesia,Jakarta,Coal,Metals & Mining,Indonesia,True,M,1946-02-11 00:00:00
2368,2259,1200000000,Luc Tack,61.0,Belgium,Deinze,"Textile, chemicals",Manufacturing,Belgium,True,M,1961-09-01 00:00:00
2369,2259,1200000000,Tony Tan Caktiong,70.0,Philippines,Manila,Food,Food & Beverage,Philippines,True,M,1953-01-05 00:00:00
2370,2259,1200000000,Xiuguo Tang,59.0,China,Changsha,Manufacturing,Manufacturing,China,True,M,1963-08-25 00:00:00
2371,2259,1200000000,Sam Tarascio,78.0,Australia,Melbourne,Real estate,Real Estate,Australia,True,M,1944-07-22 00:00:00
2372,2259,1200000000,Lina Tombolato,75.0,Italy,Tombolo,Financial services,Finance & Investments,Italy,False,F,1947-07-28 00:00:00
2373,2259,1200000000,Ching Bor Tung,60.0,China,Dongguan,Manufacturing,Manufacturing,China,True,M,1963-01-01 00:00:00
2374,2259,1200000000,Joop van den Ende,81.0,Netherlands,Baarn,TV shows,Media & Entertainment,Netherlands,True,M,1942-02-23 00:00:00
2375,2259,1200000000,Ruben Vardanyan & family,54.0,Armenia,Erevan,Investment banking,Finance & Investments,Armenia,True,M,1968-05-25 00:00:00
2376,2259,1200000000,Sandro Veronesi & family,63.0,Italy,Milan,Fashion,Fashion & Retail,Italy,True,M,1959-10-18 00:00:00
2377,2259,1200000000,Thongma Vijitpongpun,65.0,Thailand,Bangkok,Real estate,Real Estate,Thailand,True,M,1957-07-08 00:00:00
2378,2259,1200000000,Thomas von Koch,57.0,Hong Kong,Hong Kong,Asset management,Finance & Investments,Sweden,True,M,1966-03-24 00:00:00
2379,2259,1200000000,Wang Fuji,,China,Zhangzhou,Pharmaceuticals,Healthcare,China,True,M,
2380,2259,1200000000,Wang Shih-Chung,61.0,Taiwan,Taipei,Pneumatic equipments,Manufacturing,Taiwan,True,M,1962-01-01 00:00:00
2381,2259,1200000000,Wang Xiaoshen,54.0,China,Urumchi,Lithium,Manufacturing,China,True,M,1968-10-01 00:00:00
2382,2259,1200000000,J. Wayne Weaver,87.0,United States,Jacksonville,Shoes,Diversified,United States,True,M,1935-09-01 00:00:00
2383,2259,1200000000,Drorit Wertheim,67.0,Israel,Bnei Atarot,Coca Cola Israel,Food & Beverage,Israel,False,F,1956-01-01 00:00:00
2384,2259,1200000000,Cameron Winklevoss,41.0,United States,New York,Cryptocurrency,Finance & Investments,United States,True,M,1981-08-21 00:00:00
2385,2259,1200000000,Tyler Winklevoss,41.0,United States,New York,Cryptocurrency,Finance & Investments,United States,True,M,1981-08-21 00:00:00
2386,2259,1200000000,Wu Chung-yi,67.0,Taiwan,Chang Hwa County,Manufacturing,Manufacturing,Taiwan,False,M,1955-07-01 00:00:00
2387,2259,1200000000,Eugene Wu,77.0,Taiwan,Taipei,Finance,Finance & Investments,Taiwan,False,M,1945-05-03 00:00:00
2388,2259,1200000000,Wu Yonghua,52.0,China,Xiamen,Apparel,Fashion & Retail,China,True,M,1971-01-01 00:00:00
2389,2259,1200000000,Xia Xinde,58.0,China,Guangzhou,Batteries,Manufacturing,China,True,M,1964-10-15 00:00:00
2390,2259,1200000000,Wenbo Xiang,60.0,China,Changsha,Manufacturing,Manufacturing,China,True,M,1962-06-21 00:00:00
2391,2259,1200000000,Xu Jin,58.0,China,Huaibei city,Wine,Food & Beverage,China,True,M,1965-01-24 00:00:00
2392,2259,1200000000,Xu Shijun & family,60.0,China,Nantong,Manufacturing,Manufacturing,China,True,M,1963-03-01 00:00:00
2393,2259,1200000000,Wanmao Xu,78.0,China,Ningbo,Education,Service,China,True,M,1945-01-01 00:00:00
2394,2259,1200000000,Xu Yuejuan,61.0,China,Hangzhou,Petro Fibre,Manufacturing,China,True,F,1962-01-24 00:00:00
2395,2259,1200000000,Vadim Yakunin,60.0,Russia,Moscow,Pharmacy,Healthcare,Russia,True,M,1963-01-05 00:00:00
2396,2259,1200000000,Yang Yunyun,46.0,China,Guangzhou,Retail,Fashion & Retail,China,True,F,1977-01-01 00:00:00
2397,2259,1200000000,Matei Zaharia,37.0,United States,Berkeley,Data analytics,Technology,Romania,True,M,1985-04-21 00:00:00
